Quartal;Net income;Depreciation and amortization;Share-based compensation expense;Deferred income tax expense;Other;Loss on disposition of property, plant and equipment;Accounts receivable, net;Inventories;Other current assets;Vendor non-trade receivables;Other current and non-current assets;Accounts payable;Deferred revenue;Other current and non-current liabilities;Cash generated by operating activities;Purchases of marketable securities;Proceeds from maturities of marketable securities;Purchases of other long-term investments;Proceeds from non-marketable securities;Proceeds from Sales of Marketable Securities;Payments made in connection with business acquisitions, net;Payments for acquisition of property, plant and equipment;Payments for acquisition of intangible assets;Other;Cash used in investing activities;Proceeds from issuance of common stock;Excess tax benefits from equity awards;Taxes paid related to net share settlement of equity awards;Dividends and dividend equivalents paid;Repurchase of common stock;Proceeds from issuance of term debt, net;Repayments of term debt;Change in commercial paper, net;Cash used in financing activities;Increase/(decrease) in cash and cash equivalents
Q4 '08;2.421;157;141;357;;7;-819;36;-284;110;188;1.822;-1.105;1.264;4.295;-5.812;2.426;-7;;2.072;-220;-403;-19;-30;-1.993;72;136;-8;;;;;;200;2.502
Q1 '09;2.255;168;170;276;;7;226;113;1.097;;7;-767;200;186;3.938;-13.082;2.226;-38;;2.668;;-339;-14;-60;-8.639;77;19;-34;;;;;;62;-4.639
Q2 '09;1.620;181;181;294;;1;264;84;137;;-368;-760;-72;-721;841;-10.401;4.054;-16;;2.789;;-100;-16;5;-3.685;45;28;1;;;;;;74;-2.770
Q3 '09;1.828;182;179;202;;10;-754;-68;-1.172;788;-241;879;195;242;2.270;-11.213;6.500;-7;;3.660;0;-246;-26;-7;-1.339;166;77;-35;;;;;;208;1.139
Q4 '09;2.532;203;180;268;;-18;-675;-75;-62;-202;-111;740;198;132;3.110;-12.028;7.010;61;;1.771;0;-459;-13;-113;-3.771;187;146;-14;;;;;;319;-342
Q1 '10;3.378;209;205;425;;;271;-121;;-95;-369;956;606;316;5.781;-12.922;6.216;;;3.199;;-376;-5;-70;-3.958;374;252;-103;;;;;;523;2.346
Q2 '10;3.074;216;231;468;;;211;-62;;48;-250;-974;-29;-603;2.330;-12.139;7.115;;;5.487;-325;-274;-27;80;-83;160;161;-159;;;;;;162;2.409
Q3 '10;3.253;273;219;405;;;-561;-304;;-1.209;-382;2.830;229;48;4.801;-16.257;6.427;;;5.362;-290;-595;-31;-46;-5.430;199;239;-122;;;;;;316;-313
Q4 '10;4.308;329;224;142;;;-2.063;-109;;-1.462;-609;3.495;411;1.017;5.683;-16.475;5.172;;;7.740;-23;-760;-53;16;-4.383;179;99;-22;0;;;;;256;1.556
Q1 '11;6.004;356;299;823;;;-517;166;;-433;-558;2.346;634;653;9.773;-19.575;3.279;;;6.853;;-1.214;-49;-23;-10.729;208;454;-233;;;;;;429;-527
