Quartal;Net income;Depreciation and amortization;Share-based compensation expense;Deferred income tax expense;Other;Loss on disposition of property, plant and equipment;Accounts receivable, net;Inventories;Other current assets;Vendor non-trade receivables;Other current and non-current assets;Accounts payable;Deferred revenue;Other current and non-current liabilities;Cash generated by operating activities;Purchases of marketable securities;Proceeds from maturities of marketable securities;Purchases of other long-term investments;Proceeds from non-marketable securities;Proceeds from Sales of Marketable Securities;Payments made in connection with business acquisitions, net;Payments for acquisition of property, plant and equipment;Payments for acquisition of intangible assets;Other;Cash used in investing activities;Proceeds from issuance of common stock;Excess tax benefits from equity awards;Taxes paid related to net share settlement of equity awards;Dividends and dividend equivalents paid;Repurchase of common stock;Proceeds from issuance of term debt, net;Repayments of term debt;Change in commercial paper, net;Cash used in financing activities;Increase/(decrease) in cash and cash equivalents
Q4 '08;2421;157;141;357;;7;-819;36;-284;110;188;1822;-1105;1264;4295;-5812;2426;-7;;2072;-220;-403;-19;-30;-1993;72;136;-8;;;;;;200;2502
Q1 '09;2255;168;170;276;;7;226;113;1097;;7;-767;200;186;3938;-13082;2226;-38;;2668;;-339;-14;-60;-8639;77;19;-34;;;;;;62;-4639
Q2 '09;1620;181;181;294;;1;264;84;137;;-368;-760;-72;-721;841;-10401;4054;-16;;2789;;-100;-16;5;-3685;45;28;1;;;;;;74;-2770
Q3 '09;1828;182;179;202;;10;-754;-68;-1172;788;-241;879;195;242;2270;-11213;6500;-7;;3660;0;-246;-26;-7;-1339;166;77;-35;;;;;;208;1139
Q4 '09;2532;203;180;268;;-18;-675;-75;-62;-202;-111;740;198;132;3110;-12028;7010;61;;1771;0;-459;-13;-113;-3771;187;146;-14;;;;;;319;-342
Q1 '10;3378;209;205;425;;;271;-121;;-95;-369;956;606;316;5781;-12922;6216;;;3199;;-376;-5;-70;-3958;374;252;-103;;;;;;523;2346
Q2 '10;3074;216;231;468;;;211;-62;;48;-250;-974;-29;-603;2330;-12139;7115;;;5487;-325;-274;-27;80;-83;160;161;-159;;;;;;162;2409
Q3 '10;3253;273;219;405;;;-561;-304;;-1209;-382;2830;229;48;4801;-16257;6427;;;5362;-290;-595;-31;-46;-5430;199;239;-122;;;;;;316;-313
Q4 '10;4308;329;224;142;;;-2063;-109;;-1462;-609;3495;411;1017;5683;-16475;5172;;;7740;-23;-760;-53;16;-4383;179;99;-22;0;;;;;256;1556
Q1 '11;6004;356;299;823;;;-517;166;;-433;-558;2346;634;653;9773;-19575;3279;;;6853;;-1214;-49;-23;-10729;208;454;-233;;;;;;429;-527
