Quartal;Net sales;Cost of sales;Gross margin;Research and development;Selling, general and administrative;Total operating expenses;Operating Income;Other income/(expense), net;Income before provision for income taxes;Provision for income taxes;Net income
Q3 '08;7464;4864;2600;292;916;1208;1392;118;1510;438;1072
Q4 '08;12907;8116;4791;298;999;1297;3494;140;3634;1213;2421
Q1 '09;11880;7373;4507;315;1091;1406;3101;158;3259;1004;2255
Q2 '09;9084;5457;3627;319;985;1304;2323;63;2386;766;1620
Q3 '09;9734;5751;3983;341;1010;1351;2632;60;2692;864;1828
Q4 '09;12207;7102;5105;358;1063;1421;3684;45;3729;1197;2532
Q1 '10;15683;9272;6411;398;1288;1686;4725;33;4758;1380;3378
Q2 '10;13499;7874;5625;426;1220;1646;3979;50;4029;955;3074
Q3 '10;15700;9564;6136;464;1438;1902;4234;58;4292;1039;3253
Q4 '10;20343;12831;7512;494;1571;2065;5447;14;5461;1153;4308
Q1 '11;26741;16443;10298;575;1896;2471;7827;136;7963;1959;6004
Q2 '11;24667;14449;10218;581;1763;2344;7874;26;7900;1913;5987
Q3 '11;28571;16649;11922;628;1915;2543;9379;172;9551;2243;7308
Q4 '11;28270;16890;11380;645;2025;2670;8710;81;8791;2168;6623
Q1 '12;46333;25630;20703;758;2605;3363;17340;137;17477;4413;13064
Q2 '12;39186;20622;18564;841;2339;3180;15384;148;15532;3910;11622
Q3 '12;35023;20029;14994;876;2545;3421;11573;288;11861;3037;8824
Q4 '12;35966;21565;14401;906;2551;3457;10944;-51;10893;2670;8223
Q1 '13;54512;33452;21060;1010;2840;3850;17210;462;17672;4594;13078
Q2 '13;43603;27254;16349;1119;2672;3791;12558;347;12905;3358;9547
Q3 '13;35323;22299;13024;1178;2645;3823;9201;234;9435;2535;6900
Q4 '13;37472;23601;13871;1168;2673;3841;10030;113;10143;2631;7512
Q1 '14;57594;35748;21846;1330;3053;4383;17463;246;17709;4637;13072
Q2 '14;45646;27699;17947;1422;2932;4354;13593;225;13818;3595;10223
Q3 '14;37432;22697;14735;1603;2850;4453;10282;202;10484;2736;7748
Q4 '14;42123;26114;16009;1686;3158;4844;11165;307;11472;3005;8467
Q1 '15;74599;44858;29741;1895;3600;5495;24246;170;24416;6392;18024
Q2 '15;58010;34354;23656;1918;3460;5378;18278;286;18564;4995;13569
Q3 '15;49605;29924;19681;2034;3564;5598;14083;390;14473;3796;10677
Q4 '15;51501;30953;20548;2220;3705;5925;14623;439;15062;3938;11124
Q1 '16;75872;45449;30423;2404;3848;6252;24171;402;24573;6212;18361
Q2 '16;50557;30636;19921;2511;3423;5934;13987;155;14142;3626;10516
Q3 '16;42358;26252;16106;2560;3441;6001;10105;364;10469;2673;7796
Q4 '16;46852;29039;17813;2570;3482;6052;11761;427;12188;3174;9014
Q1 '17;78351;48175;30176;2871;3946;6817;23359;821;24180;6289;17891
Q2 '17;52896;32305;20591;2776;3718;6494;14097;587;14684;3655;11029
Q3 '17;45408;27920;17488;2937;3783;6720;10768;540;11308;2591;8717
Q4 '17;52579;32648;19931;2997;3814;6811;13120;797;13917;3203;10714
Q1 '18;88293;54381;33912;3407;4231;7638;26274;756;27030;6965;20065
Q2 '18;61137;37715;23422;3378;4150;7528;15894;274;16168;2346;13822
Q3 '18;53265;32844;20421;3701;4108;7809;12612;672;13284;1765;11519
