date;closeAdj 
 2019-01-04;148.26
 2018-12-28;156.23
 2018-12-21;150.73
 2018-12-14;165.48
 2018-12-07;168.49
 2018-11-30;178.58
 2018-11-23;172.29
 2018-11-15;191.41
 2018-11-08;208.49
 2018-11-01;221.44
 2018-10-25;219.03
 2018-10-18;215.27
 2018-10-11;213.70
 2018-10-04;227.19
 2018-09-27;224.17
 2018-09-20;219.26
 2018-09-13;225.62
 2018-09-06;222.32
 2018-08-30;224.24
 2018-08-23;214.74
 2018-08-16;212.58
 2018-08-09;207.42
 2018-08-02;205.94
 2018-07-26;192.85
 2018-07-19;190.54
 2018-07-12;189.70
 2018-07-05;184.11
 2018-06-27;182.87
 2018-06-20;185.20
 2018-06-13;189.37
 2018-06-06;192.63
 2018-05-30;186.19
 2018-05-23;187.04
 2018-05-16;186.87
 2018-05-09;185.33
 2018-05-02;174.66
 2018-04-25;161.88
 2018-04-18;175.92
 2018-04-11;170.58
 2018-04-04;169.75
 2018-03-28;164.68
 2018-03-21;169.42
 2018-03-14;176.51
 2018-03-07;173.14
 2018-02-28;176.19
 2018-02-21;169.22
 2018-02-14;165.56
 2018-02-07;157.18
 2018-01-31;164.96
 2018-01-24;171.65
 2018-01-17;176.45
 2018-01-10;171.71
 2018-01-03;169.68
 2017-12-27;168.08
 2017-12-20;171.77
 2017-12-13;169.72
 2017-12-06;166.51
 2017-11-29;166.98
 2017-11-22;172.37
 2017-11-15;166.58
 2017-11-08;173.01
 2017-11-01;163.83
 2017-10-25;153.54
 2017-10-18;156.83
 2017-10-11;153.68
 2017-10-04;150.67
 2017-09-27;151.40
 2017-09-20;153.21
 2017-09-13;156.73
 2017-09-06;158.94
 2017-08-30;160.36
 2017-08-23;157.05
 2017-08-16;158.00
 2017-08-09;157.47
 2017-08-02;153.64
 2017-07-26;150.04
 2017-07-19;147.65
 2017-07-12;142.49
 2017-07-05;140.88
 2017-06-27;140.53
 2017-06-20;141.78
 2017-06-13;143.32
 2017-06-06;151.01
 2017-05-30;150.25
 2017-05-23;150.37
 2017-05-16;152.01
 2017-05-09;149.94
 2017-05-02;143.63
 2017-04-25;140.73
 2017-04-18;137.49
 2017-04-11;137.91
 2017-04-04;140.97
 2017-03-28;140.02
 2017-03-21;136.17
 2017-03-14;135.34
 2017-03-07;135.85
 2017-02-28;133.39
